rank,domain,ai_legibility_score,band,platform,is_ecommerce,scanned_on,methodology_version
1,nerdwallet.com,71.5,Established,wordpress,true,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
2,pewresearch.org,70.5,Established,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
3,investopedia.com,69.5,Established,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
4,yoast.com,69.5,Established,wordpress,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
5,cbsnews.com,69.3,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
6,chive.com,69.2,Established,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
7,deepmind.google,69.0,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
8,verywellhealth.com,68.0,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
9,findlaw.com,67.3,Established,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
10,neilpatel.com,66.8,Established,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
11,zapier.com,66.8,Established,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
12,globalhealing.com,66.4,Established,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
13,searchengineland.com,66.4,Established,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
14,britannica.com,66.1,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
15,hopkinsmedicine.org,66.0,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
16,snowflake.com,65.8,Established,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
17,axios.com,65.1,Established,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
18,nolo.com,64.8,Established,custom,true,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
19,backlinko.com,64.6,Established,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
20,moz.com,64.6,Established,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
21,edx.org,64.5,Established,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
22,healthline.com,64.4,Established,wordpress,true,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
23,my.clevelandclinic.org,63.7,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
24,bankrate.com,63.6,Established,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
25,tropicskincare.com,63.1,Established,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
26,jasper.ai,62.9,Established,webflow,false,2026-06-21,aivs-1.0-aeo20260620-full-evid20260621
27,earthjustice.org,62.8,Established,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
28,vuoriclothing.com,62.8,Established,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
29,theguardian.com,62.6,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
30,usc.edu,62.6,Established,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
31,vanityfair.com,62.5,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
32,elifesciences.org,62.2,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
33,heart.org,62.2,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
34,byrdie.com,62.0,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
35,fool.com,62.0,Established,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
36,marieclaire.com,62.0,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
37,searchenginejournal.com,62.0,Established,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
38,bamboohr.com,61.8,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
39,thebalancemoney.com,61.8,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
40,wallpaper.com,61.8,Established,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
41,entrepreneur.com,61.2,Established,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
42,lever.co,61.1,Established,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
